wave,n,k
0.4,1.5394,0.0010761296703296703
0.401,1.5394,0.001080767032967033
0.402,1.5394,0.0010854043956043957
0.403,1.5394,0.0010900417582417584
0.404,1.5394,0.001094679120879121
0.405,1.5394,0.0010993164835164837
0.406,1.5394,0.0011039538461538462
0.40700000000000003,1.5394,0.0011985565217391306
0.40800000000000003,1.5394,0.0012036978260869568
0.40900000000000003,1.5394,0.0012088391304347827
0.41000000000000003,1.5394,0.001213980434782609
0.41100000000000003,1.5394,0.001219121739130435
0.41200000000000003,1.5394,0.001224263043478261
0.41300000000000003,1.5394,0.001229404347826087
0.41400000000000003,1.5389742574257426,0.0012345456521739133
0.41500000000000004,1.5385485148514852,0.0012396869565217392
0.41600000000000004,1.5381227722772277,0.0012448336842105264
0.41700000000000004,1.5376970297029704,0.001250002105263158
0.41800000000000004,1.5372712871287129,0.0012551705263157897
0.41900000000000004,1.5368455445544553,0.0012603389473684213
0.42000000000000004,1.536419801980198,0.001265507368421053
0.42100000000000004,1.5359940594059405,0.0012706757894736843
0.42200000000000004,1.5355683168316832,0.001275844210526316
0.42300000000000004,1.5351425742574256,0.0012810126315789476
0.42400000000000004,1.5351,0.0012861810526315792
0.42500000000000004,1.5351,0.0012913494736842108
0.42600000000000005,1.5351,0.001296594845360825
0.42700000000000005,1.5351,0.001301873195876289
0.42800000000000005,1.5351,0.001307151546391753
0.42900000000000005,1.5351,0.0013124298969072168
0.43000000000000005,1.5351,0.0013177082474226806
0.43100000000000005,1.5351,0.0013229865979381445
0.43200000000000005,1.5351,0.0013282649484536084
0.43300000000000005,1.5351,0.0013335432989690723
0.43400000000000005,1.5351067307692308,0.0013388216494845363
0.43500000000000005,1.535116346153846,0.0013977642857142861
0.43600000000000005,1.5351259615384614,0.0014034071428571432
0.43700000000000006,1.5351355769230768,0.0014090500000000004
0.43800000000000006,1.5351451923076922,0.0014146928571428575
0.43900000000000006,1.5351548076923076,0.0014203357142857148
0.44000000000000006,1.535164423076923,0.0014259785714285718
0.44100000000000006,1.5351740384615384,0.0014316214285714289
0.44200000000000006,1.5351836538461539,0.0014372642857142862
0.44300000000000006,1.535193269230769,0.0014429071428571432
0.44400000000000006,1.5352,0.0014485500000000005
0.44500000000000006,1.5352,0.001454188235294118
0.44600000000000006,1.5352,0.0014598156862745103
0.44700000000000006,1.5352,0.0014654431372549024
0.44800000000000006,1.5352,0.0014710705882352946
0.44900000000000007,1.5352,0.0014766980392156867
0.45000000000000007,1.5352,0.0014823254901960789
0.45100000000000007,1.5352,0.0014879529411764708
0.45200000000000007,1.5352,0.001493580392156863
0.45300000000000007,1.5352,0.0014992078431372551
0.45400000000000007,1.5352,0.0015048352941176473
0.45500000000000007,1.5352,0.0015099
0.45600000000000007,1.5352,0.0015099
0.4570000000000001,1.5352,0.0015099
0.4580000000000001,1.5352,0.0015099
0.4590000000000001,1.5352,0.0015099
0.4600000000000001,1.5352,0.0015099
0.4610000000000001,1.5352,0.0015099
0.4620000000000001,1.5352,0.0015099
0.4630000000000001,1.5352,0.0015099
0.4640000000000001,1.5352,0.0015099
0.4650000000000001,1.5352,0.0015099
0.4660000000000001,1.5352,0.001513311428571429
0.4670000000000001,1.5352,0.0015189971428571434
0.4680000000000001,1.5352,0.0015246828571428576
0.4690000000000001,1.5352,0.001530368571428572
0.4700000000000001,1.5352,0.0015360542857142862
0.4710000000000001,1.5352,0.0015417400000000006
0.4720000000000001,1.5352,0.0015474257142857148
0.4730000000000001,1.5352,0.001553111428571429
0.4740000000000001,1.5352,0.0015587971428571434
0.4750000000000001,1.5352,0.0015644828571428576
0.4760000000000001,1.5352,0.0015696
0.4770000000000001,1.5352,0.0015696
0.4780000000000001,1.5352,0.0015696
0.4790000000000001,1.5352,0.0015696
0.4800000000000001,1.5352,0.0015696
0.4810000000000001,1.5352,0.0015696
0.4820000000000001,1.5352,0.0015696
0.4830000000000001,1.5352,0.0015696
0.4840000000000001,1.5352,0.0015696
0.4850000000000001,1.5352,0.0015696
0.4860000000000001,1.5352,0.0015696
0.4870000000000001,1.5352,0.0015707189189189195
0.4880000000000001,1.5352,0.001576313513513514
0.4890000000000001,1.5352,0.0015819081081081085
0.4900000000000001,1.5352,0.0015875027027027033
