wave	n	k
1460	1.645	3.87E-03
1465	1.645	3.83E-03
1470	1.645	3.78E-03
1475	1.645	3.73E-03
1480	1.645	3.68E-03
1485	1.645	3.62E-03
1490	1.645	3.60E-03
1495	1.645	3.60E-03
1500	1.645	3.64E-03
1505	1.645	3.69E-03
1510	1.644	3.74E-03
1515	1.644	3.80E-03
1520	1.644	3.83E-03
1525	1.644	3.87E-03
1530	1.644	3.90E-03
1535	1.644	3.93E-03
1540	1.644	3.94E-03
1545	1.644	3.95E-03
1550	1.644	3.96E-03
1555	1.644	3.98E-03
1560	1.644	4.00E-03
1565	1.644	4.03E-03
1570	1.643	4.05E-03
1575	1.643	4.07E-03
1580	1.643	4.09E-03
1585	1.643	4.09E-03
1590	1.643	4.08E-03
1595	1.643	4.05E-03
1600	1.643	4.04E-03
1605	1.642	4.03E-03
1610	1.642	4.03E-03
1615	1.642	4.04E-03
1620	1.642	4.04E-03
1625	1.642	4.03E-03
1630	1.641	4.00E-03
1635	1.641	3.97E-03
1640	1.641	3.96E-03
1645	1.641	3.99E-03
1650	1.641	4.01E-03
1655	1.641	4.04E-03
1660	1.641	4.05E-03
1665	1.640	4.08E-03
1670	1.640	4.09E-03
1675	1.640	4.09E-03
1680	1.640	4.07E-03
1685	1.640	4.05E-03
1690	1.640	4.02E-03
1695	1.639	4.01E-03
1700	1.639	4.02E-03
1705	1.639	4.05E-03
1710	1.639	4.08E-03
1715	1.639	4.08E-03
1720	1.639	4.04E-03
1725	1.639	3.97E-03
1730	1.639	3.90E-03
1735	1.638	3.87E-03
1740	1.638	3.85E-03
1745	1.638	3.85E-03
1750	1.638	3.83E-03
1755	1.638	3.83E-03
1760	1.638	3.80E-03
1765	1.638	3.77E-03
1770	1.638	3.72E-03
1775	1.637	3.66E-03
1780	1.637	3.61E-03
1785	1.637	3.55E-03
1790	1.637	3.51E-03
1795	1.637	3.48E-03
1800	1.637	3.46E-03
1805	1.637	3.43E-03
1810	1.636	3.38E-03
1815	1.636	3.33E-03
1820	1.636	3.29E-03
1825	1.636	3.26E-03
1830	1.636	3.24E-03
1835	1.636	3.21E-03
1840	1.635	3.16E-03
1845	1.635	3.13E-03
1850	1.635	3.09E-03
1855	1.635	3.05E-03
1860	1.635	2.99E-03
1865	1.635	2.92E-03
1870	1.634	2.84E-03
1875	1.634	2.76E-03
1880	1.634	2.70E-03
1885	1.634	2.65E-03
1890	1.634	2.61E-03
1895	1.633	2.55E-03
1900	1.633	2.50E-03
1905	1.633	2.46E-03
1910	1.633	2.46E-03
1915	1.633	2.48E-03
1920	1.633	2.52E-03
1925	1.633	2.58E-03
1930	1.633	2.62E-03
1935	1.633	2.64E-03
1940	1.633	2.63E-03
1945	1.632	2.69E-03
1950	1.632	2.81E-03
1955	1.632	2.95E-03
1960	1.632	3.03E-03
