wave,n,k
0.4,1.45,1.5266666666666666e-07
0.401,1.45,1.523333333333333e-07
0.402,1.45,1.5199999999999998e-07
0.403,1.45,1.513333333333333e-07
0.404,1.45,1.5066666666666667e-07
0.405,1.45,1.5e-07
0.406,1.45,1.5e-07
0.40700000000000003,1.45,1.5e-07
0.40800000000000003,1.45,1.5e-07
0.40900000000000003,1.45,1.5e-07
0.41000000000000003,1.45,1.5e-07
0.41100000000000003,1.45,1.5e-07
0.41200000000000003,1.45,1.4966666666666664e-07
0.41300000000000003,1.45,1.4933333333333332e-07
0.41400000000000003,1.45,1.4900000000000002e-07
0.41500000000000004,1.45,1.4933333333333335e-07
0.41600000000000004,1.45,1.4966666666666667e-07
0.41700000000000004,1.45,1.5e-07
0.41800000000000004,1.45,1.5e-07
0.41900000000000004,1.45,1.5e-07
0.42000000000000004,1.45,1.5e-07
0.42100000000000004,1.45,1.5e-07
0.42200000000000004,1.45,1.5e-07
0.42300000000000004,1.45,1.5000000000000002e-07
0.42400000000000004,1.45,1.5033333333333334e-07
0.42500000000000004,1.45,1.5066666666666667e-07
0.42600000000000005,1.45,1.51e-07
0.42700000000000005,1.45,1.51e-07
0.42800000000000005,1.45,1.51e-07
0.42900000000000005,1.45,1.5100000000000002e-07
0.43000000000000005,1.45,1.5133333333333334e-07
0.43100000000000005,1.45,1.5166666666666666e-07
0.43200000000000005,1.45,1.5199999999999998e-07
0.43300000000000005,1.45,1.5233333333333333e-07
0.43400000000000005,1.45,1.5266666666666668e-07
0.43500000000000005,1.45,1.5300000000000003e-07
0.43600000000000005,1.45,1.5333333333333336e-07
0.43700000000000006,1.45,1.536666666666667e-07
0.43800000000000006,1.45,1.54e-07
0.43900000000000006,1.45,1.54e-07
0.44000000000000006,1.45,1.54e-07
0.44100000000000006,1.45,1.5400000000000003e-07
0.44200000000000006,1.45,1.546666666666667e-07
0.44300000000000006,1.45,1.5533333333333337e-07
0.44400000000000006,1.45,1.56e-07
0.44500000000000006,1.45,1.56e-07
0.44600000000000006,1.45,1.56e-07
0.44700000000000006,1.45,1.5600000000000002e-07
0.44800000000000006,1.45,1.5633333333333334e-07
0.44900000000000007,1.45,1.5666666666666667e-07
0.45000000000000007,1.45,1.5700000000000002e-07
0.45100000000000007,1.45,1.5733333333333337e-07
0.45200000000000007,1.45,1.576666666666667e-07
0.45300000000000007,1.45,1.5800000000000004e-07
0.45400000000000007,1.45,1.583333333333334e-07
0.45500000000000007,1.45,1.586666666666667e-07
0.45600000000000007,1.45,1.59e-07
0.4570000000000001,1.45,1.59e-07
0.4580000000000001,1.45,1.59e-07
0.4590000000000001,1.45,1.5900000000000003e-07
0.4600000000000001,1.45,1.5933333333333336e-07
0.4610000000000001,1.45,1.596666666666667e-07
0.4620000000000001,1.45,1.6e-07
0.4630000000000001,1.45,1.6e-07
0.4640000000000001,1.45,1.6e-07
